fight_id,event_date,weight_class,outcome,fighter_a_name,fighter_b_name,fighter_a_age,fighter_a_height,fighter_a_reach,fighter_a_weight,fighter_a_total_fights,fighter_a_win_percentage,fighter_a_recent_wins,fighter_a_win_streak,fighter_a_sig_strikes_landed_per_min,fighter_a_sig_strikes_absorbed_per_min,fighter_a_sig_strike_accuracy,fighter_a_sig_strike_defense,fighter_a_takedowns_landed_per_fight,fighter_a_takedown_attempts_per_fight,fighter_a_takedown_defense,fighter_a_submission_attempts_per_fight,fighter_a_ko_tko_win_rate,fighter_a_control_time_per_fight,fighter_b_age,fighter_b_height,fighter_b_reach,fighter_b_weight,fighter_b_total_fights,fighter_b_win_percentage,fighter_b_recent_wins,fighter_b_win_streak,fighter_b_sig_strikes_landed_per_min,fighter_b_sig_strikes_absorbed_per_min,fighter_b_sig_strike_accuracy,fighter_b_sig_strike_defense,fighter_b_takedowns_landed_per_fight,fighter_b_takedown_attempts_per_fight,fighter_b_takedown_defense,fighter_b_submission_attempts_per_fight,fighter_b_ko_tko_win_rate,fighter_b_control_time_per_fight,sig_strikes_landed_diff,sig_strike_accuracy_diff,takedowns_landed_diff,takedown_defense_diff,reach_diff,age_diff
d38029cf47e54cf7,"December 07, 2024",Flyweight,0,Cody Durden,Joshua Van,34.1,67.0,67.0,125.0,25,68.0,5,0,3.52,4.29,45,49,4.06,8.638297872,73,0.8,11.76470588,12.93333333,23.6,65.0,65.0,125.0,15,86.66666667,6,0,8.1,5.24,54,60,1.11,1.761904762,80,0.0,15.38461538,1.333333333,-4.58,-9,2.95,-7,2.0,10.5
a5c57b0f49e9f61c,"December 07, 2024",Welterweight,1,Michael Chiesa,Max Griffin,37.4,73.0,75.0,170.0,27,74.07407407,6,0,1.81,1.66,39,54,3.3,6.875,61,1.1,5.0,19.10614525,39.4,71.0,76.0,170.0,31,64.51612903,5,0,3.75,3.66,48,58,1.37,3.425,69,0.3,20.0,6.620111732,-1.94,-9,1.93,-8,-1.0,-2.0
72b12a837290b327,"December 07, 2024",Lightweight,0,Clay Guida,Chase Hooper,43.4,67.0,70.0,155.0,60,63.33333333,3,0,2.63,3.0,33,61,3.1,8.857142857,66,0.6,10.52631579,0.0,25.7,73.0,74.0,155.0,20,80.0,7,5,4.53,2.96,51,38,2.59,7.617647059,55,2.2,18.75,34.75113122,-1.9,-18,0.51,11,-4.0,17.7
eb94412f15c62650,"December 07, 2024",Heavyweight,1,Kennedy Nzechukwu,Lukasz Brzeski,32.9,77.0,83.0,236.0,19,73.68421053,6,2,5.37,4.89,46,51,0.56,1.244444444,81,0.2,64.28571429,0.824742268,33.0,76.0,78.0,236.0,16,56.25,2,0,5.02,3.68,50,54,0.43,1.303030303,36,0.4,33.33333333,0.0,0.35,-4,0.13,45,5.0,-0.1
f53573316a4f349f,"November 23, 2024",Bantamweight,1,Petr Yan,Deiveson Figueiredo,32.2,67.0,67.0,135.0,23,78.26086957,6,2,5.11,4.13,54,58,1.61,3.285714286,84,0.1,22.22222222,8.04,37.4,65.0,68.0,135.0,30,80.0,5,0,2.82,3.64,54,49,1.69,4.828571429,58,1.4,25.0,7.2,2.29,0,-0.08,26,-1.0,-5.2
f0c4aff7dd1ec4e9,"November 23, 2024",Women's Strawweight,1,Yan Xiaonan,Tabatha Ricci,35.9,65.0,63.0,115.0,24,79.16666667,6,0,4.69,3.23,45,60,0.84,1.150684932,64,0.0,10.52631579,0.0,30.2,61.0,61.0,115.0,14,78.57142857,6,0,4.18,5.29,36,57,2.74,7.405405405,81,0.1,9.090909091,1.066666667,0.51,9,-1.9,-17,2.0,5.7
bec57d7cce0e6257,"November 23, 2024",Welterweight,0,Song Kenan,Muslim Salikhov,35.2,72.0,71.0,170.0,31,70.96774194,5,0,4.49,5.82,46,51,0.42,1.4,73,0.0,27.27272727,4.978165939,40.9,71.0,70.0,170.0,26,80.76923077,7,2,3.38,2.9,49,62,1.08,3.375,72,0.0,28.57142857,0.524017467,1.11,-3,-0.66,1,1.0,-5.7
64d6d51219e0664c,"November 23, 2024",Women's Flyweight,0,Wang Cong,Gabriella Fernandes,33.0,66.0,66.0,125.0,8,87.5,3,0,6.38,1.86,52,61,1.61,2.146666667,100,1.1,14.28571429,0.0,31.7,66.0,66.0,125.0,13,76.92307692,2,2,3.46,5.5,46,49,0.56,3.111111111,60,0.3,0.0,3.175803403,2.92,6,1.05,40,0.0,1.3
02ec66f311dce539,"November 23, 2024",Light Heavyweight,0,Volkan Oezdemir,Carlos Ulberg,35.6,74.0,75.0,205.0,28,71.42857143,5,0,4.95,4.22,48,55,0.5,1.724137931,80,0.1,30.0,0.2,34.5,76.0,77.0,205.0,14,92.85714286,9,8,6.77,4.21,55,51,0.58,0.966666667,85,0.2,46.15384615,0.0,-1.82,-7,-0.08,-5,-2.0,1.1
56d2c00dfd391fcf,"November 23, 2024",Light Heavyweight,1,Zhang Mingyang,Ozzy Diaz,26.7,74.0,75.0,205.0,25,76.0,4,4,10.91,4.55,64,53,0.0,0.0,50,0.0,21.05263158,2.068965517,34.5,76.0,79.0,185.0,13,76.92307692,1,1,6.44,7.23,50,59,0.0,0.0,50,0.0,20.0,0.0,4.47,14,0.0,0,-4.0,-7.8
9c207acb12c17a67,"November 23, 2024",Bantamweight,0,Baergeng Jieleyisi,SuYoung You,29.5,69.0,71.0,145.0,25,72.0,2,0,1.75,2.3,38,48,1.65,2.2,73,0.3,0.0,1.133333333,29.4,66.0,65.0,135.0,18,83.33333333,4,4,1.88,1.32,44,71,4.75,8.636363636,66,0.5,0.0,19.06666667,-0.13,-6,-3.1,7,6.0,0.1
828de4f5585c908c,"November 23, 2024",Flyweight,0,Kiru Sahota,DongHun Choi,30.0,70.0,73.0,125.0,15,80.0,2,0,4.05,2.64,52,41,0.92,2.787878788,50,0.5,8.333333333,0.0,26.4,65.0,66.0,125.0,9,100.0,3,3,4.54,3.13,66,58,0.46,3.285714286,81,0.0,11.11111111,0.384615385,-0.49,-14,0.46,-31,7.0,3.6
baee9b2491c986e2,"November 23, 2024",Women's Strawweight,1,Shi Ming,Feng Xiaocan,30.5,62.0,60.0,115.0,22,77.27272727,3,3,3.48,3.24,39,53,0.37,2.3125,58,0.0,5.882352941,5.108359133,23.4,67.0,67.0,115.0,14,71.42857143,2,0,5.43,1.76,50,73,1.08,1.08,66,0.0,20.0,6.037151703,-1.95,-11,-0.71,-8,-7.0,7.1
